"id","name","reconcile","non_trade","tag_ids","code","account_type"
"l10n_np_6010","Staff Bonus","","","","6010","expense"
"l10n_np_6020","SSF - Employer Contribution","","","","6020","expense"
"l10n_np_6030","Provident Fund - Employer Contribution","","","","6030","expense"
"l10n_np_6040","Staff Welfare","","","","6040","expense"
"l10n_np_6100","Office Rent","","","","6100","expense"
"l10n_np_6110","Utilities","","","","6110","expense"
"l10n_np_6120","Office Supplies","","","","6120","expense"
"l10n_np_6130","Communication Expenses","","","","6130","expense"
"l10n_np_6140","Repairs & Maintenance","","","","6140","expense"
"l10n_np_6150","Legal & Professional Fees","","","","6150","expense"
"l10n_np_6160","Audit Fees","","","","6160","expense"
"l10n_np_6200","Advertising & Marketing","","","","6200","expense"
"l10n_np_6210","Sales Commission","","","","6210","expense"
"l10n_np_6220","Travel & Conveyance","","","","6220","expense"
"l10n_np_6230","Freight Outward","","","","6230","expense"
"l10n_np_6300","Bank Charges","","","","6300","expense"
"l10n_np_6310","Interest Expense","","","","6310","expense"
"l10n_np_6350","Foreign Exchange Loss","","","","6350","expense"
"l10n_np_6360","Early Payment Discount Loss","","","","6360","expense"
"l10n_np_6400","Depreciation Expense","","","","6400","expense_depreciation"
"l10n_np_6500","Income Tax Expense","","","","6500","expense"
"l10n_np_6900","Miscellaneous Expenses","","","","6900","expense_other"
"l10n_np_6990","Cash Difference Loss","","","","6990","expense_other"
